post_id,date,title,volume,secondary_volume,notes
74914738.coming-soon,2022-09-25,Coming soon,0,,placeholder
162428502.the-physics-of-agency-part-1-the,2025-04-29,"The Physics of Agency, Part 1: The Physical Nature of Agency",1,,
162485540.the-physics-of-agency-part-2-agency,2025-04-29,"The Physics of Agency, Part 2: Agency vs Drift – The Thermodynamic Basis of Agency",1,,
162485677.the-physics-of-agency-part-3-the,2025-04-30,"The Physics of Agency, Part 3: The Kybit — A New Unit of Control",1,,
162543579.the-physics-of-agency-part-4-the,2025-04-30,"The Physics of Agency, Part 4: The Law of Control Work — Agency Costs Energy",1,,
162560090.the-physics-of-agency-part-5-the,2025-04-30,"The Physics of Agency, Part 5: The Law of Agency Decay — Entropy Always Wins",1,,
162561951.the-physics-of-agency-part-6-the,2025-04-30,"The Physics of Agency, Part 6: The Law of Agency Limits — Perfect Control Is Impossible",1,,
162571051.the-physics-of-agency-part-7-branching,2025-04-30,"The Physics of Agency, Part 7: Branching Realities — Agency in the Multiverse",1,,
162571836.the-physics-of-agency-part-8-meaning,2025-04-30,"The Physics of Agency, Part 8: Meaning, Ethics, and Evolution Under the Physics of Agency",1,,
162572301.the-physics-of-agency-part-9-challenges,2025-04-30,"The Physics of Agency, Part 9: Challenges and FAQs",1,,
162578038.the-physics-of-agency-part-10-the,2025-04-30,"The Physics of Agency, Part 10: The Grand Synthesis and Future Directions",1,,
162831172.the-mechanics-of-agency,2025-05-04,The Mechanics of Agency,1,,
162831503.conditionalism,2025-05-04,Conditionalism,2,,
162844036.the-quantum-branching-universe-qbu,2025-05-04,The Quantum Branching Universe (QBU) ,1,,
162845671.identifying-branches-in-the-qbu,2025-05-04,Identifying Branches in the QBU,1,,
162847620.mechanics-of-agency-quantum-decisions,2025-05-04,Mechanics of Agency: Quantum Decisions ,1,,
163099190.the-mechanics-of-agency-maximal-theoretical,2025-05-08,The Mechanics of Agency: Maximal Theoretical Agent,1,,
163210650.introducing-the-dialectic-agent,2025-05-09,The Dialectic Agent,3,,
163272667.why-im-an-individualist,2025-05-10,Why I'm an Individualist,7,,
163283969.objective-vs-subjective-probability,2025-05-10,Objective vs. Subjective Probability,2,,
163285659.how-quantum-measurement-shapes-cosmic,2025-05-10,How Quantum Measurement Shapes Cosmic History,1,,
163293406.making-sense-of-pdoom,2025-05-10,Making Sense of P(doom),3,,
163348907.a-rigorous-definition-of-causality,2025-05-11,A Rigorous Definition of Causality,1,,
163356216.the-three-thermodynamic-laws-of-agency,2025-05-11,The Three Thermodynamic Laws of Agency,1,,
163356868.effective-decision-theory,2025-05-11,Effective Decision Theory,2,,
163365017.active-inference-and-the-physics,2025-05-12,Active Inference and the Physics of Agency,1,,
163509485.quantum-agency-in-the-emergent-multiverse,2025-05-13,Quantum Agency in the Emergent Multiverse,1,,
163778685.measure-vantage-branchcone-and-counterfactuals,2025-05-17,"Measure, Vantage, Branchcone, and Counterfactuals",1,,
163789945.the-starlight-analogy,2025-05-17,The Starlight Analogy,1,,
163797482.evolution-is-all-you-need,2025-05-17,Evolution Is All You Need,3,,
163805376.intelligence-is-a-game-we-play,2025-05-17,Intelligence is a Game We Play,3,,
163921757.defending-bayes,2025-05-19,Defending Bayes,2,,
164038303.qbism-vs-many-worlds,2025-05-20,QBism vs. Many Worlds,1,,
164130874.defending-bayes-part-2,2025-05-22,"Defending Bayes, Part 2",2,,
164270270.defending-bayes-part-3,2025-05-23,"Defending Bayes, Part 3",2,,
164271340.the-pattern,2025-05-23,The Pattern,8,,
164272915.nonsense,2025-05-23,Nonsense,2,,
164275423.sacred-coherence,2025-05-23,Sacred Coherence,2,9,pulled into Vol 2 ch.18 (Conditionalism sequence)
164364452.defending-bayes-part-4,2025-05-24,"Defending Bayes, Part 4",2,,
164411286.creativity-as-virtual-evolution,2025-05-25,Creativity as Virtual Evolution,1,,
164423784.a-gigaplex-of-parallel-lives,2025-05-25,A Gigaplex of Parallel Lives,1,,
164425191.heads-or-tails,2025-05-25,Heads or Tails,1,,
164433813.defending-bayes-part-5,2025-05-25,"Defending Bayes, Part 5",2,,
164437547.universal-alignment,2025-05-25,Universal Alignment,3,,
164442584.the-dialectic-catalyst,2025-05-25,The Dialectic Catalyst,3,,
164446895.introducing-larpitarianism,2025-05-26,Introducing LARPitarianism,7,,
164447944.policy-on-precedence-and-contradictions,2025-05-26,Policy on Precedence and Contradictions,0,,housekeeping (blog policy)
164572808.do-ideas-move-atoms,2025-05-27,Do Ideas Move Atoms?,1,,
164581001.the-persistent-catalyst,2025-05-27,The Persistent Catalyst,3,,
164678345.from-sovereignty-to-slavery,2025-05-28,From Sovereignty to Slavery,7,,
164684907.navigating-moral-realism-with-agent,2025-05-29,Navigating Moral Realism with Agent-Binding,5,,
164846085.the-myth-of-objective-value,2025-05-31,The Myth of Objective Value,5,,
164847204.the-free-rider-fallacy,2025-05-31,The Free Rider Fallacy,5,,
164851202.sacrifice-as-signal,2025-05-31,Sacrifice as Signal,5,,
164878445.willing-and-able,2025-05-31,Willing and Able,5,,
164882854.opportunity-cost,2025-05-31,Opportunity Cost,5,,
164883871.what-is-money,2025-05-31,What Is Money?,6,,
164884396.the-price-illusion,2025-05-31,The Price Illusion,6,,
164888678.effective-altruism-without-moral,2025-05-31,Effective Altruism Without Moral Realism,5,,
164891095.the-death-of-objective-morality,2025-05-31,The Death of Objective Morality,5,,
164891451.against-cosmic-utility,2025-05-31,Against Cosmic Utility,5,,
164892948.virtues-consequences-and-codes,2025-05-31,"Virtues, Consequences, and Codes",5,,
164900237.the-myth-of-equal-value,2025-05-31,The Myth of Equal Value,5,,
164901368.rights-are-forged,2025-05-31,Rights Are Forged,7,,
164902314.what-counts-as-coercion,2025-05-31,What Counts As Coercion ,5,,
164911762.what-counts-as-consent,2025-06-01,What Counts as Consent,5,,
164935709.what-counts-as-harm,2025-06-01,What Counts as Harm,5,,
