path,volume,title,words,em_dash,negative_parallelism,lampshading,empty_opener,hedge_stack,restatement_closer,tapestry_diction,significance_announcer,intensifier,preanswer_flattery,surely,lexical_hits,total_leads,leads_per_1000_words
book/00-front/01-preface.md,Front Matter,Preface,578,7,4,0,0,0,0,0,0,1,0,0,5,12,20.76
book/00-front/02-introduction.md,Front Matter,Introduction,1010,8,1,0,0,0,0,1,0,0,0,0,2,10,9.90
book/00-front/03-glossary.md,Front Matter,Glossary,4701,0,14,0,0,0,0,0,0,0,0,0,14,14,2.98
book/01-physics-of-agency/01-a-genealogy-of-agency.md,Volume 1,A Genealogy of Agency,1293,18,9,0,0,0,0,1,0,0,0,0,10,28,21.66
book/01-physics-of-agency/02-agency-against-drift.md,Volume 1,Agency Against Drift,1374,11,6,0,0,0,0,2,0,2,0,0,10,21,15.28
book/01-physics-of-agency/03-the-kybit.md,Volume 1,The Kybit,1305,9,1,0,0,0,0,0,0,1,0,0,2,11,8.43
book/01-physics-of-agency/04-the-three-laws-of-agency.md,Volume 1,The Three Laws of Agency,1436,11,3,0,0,0,0,1,0,1,0,0,5,16,11.14
book/01-physics-of-agency/05-minimal-and-maximal-agents.md,Volume 1,Minimal and Maximal Agents,1974,28,9,0,0,0,0,0,0,1,0,0,10,38,19.25
book/01-physics-of-agency/06-agency-and-active-inference.md,Volume 1,Agency and Active Inference,1202,16,1,0,0,0,0,0,0,1,0,0,2,18,14.98
book/01-physics-of-agency/07-agency-is-not-reward.md,Volume 1,Agency Is Not Reward,1343,13,9,0,0,0,0,3,1,3,0,0,16,29,21.59
book/01-physics-of-agency/08-the-quantum-branching-universe.md,Volume 1,The Quantum Branching Universe,1278,12,3,0,0,0,0,0,0,0,0,0,3,15,11.74
book/01-physics-of-agency/09-measure-vantage-branchcone.md,Volume 1,"Measure, Vantage, Branchcone",1472,15,1,0,0,0,0,0,0,1,0,0,2,17,11.55
book/01-physics-of-agency/10-causality-and-counterfactuals.md,Volume 1,Causality and Counterfactuals,1373,7,4,0,0,0,0,0,0,2,0,1,7,14,10.20
book/01-physics-of-agency/11-the-observer-joins-the-branch.md,Volume 1,The Observer Joins the Branch,3038,24,5,0,0,0,0,1,0,6,0,0,12,36,11.85
